日期,星期,最高温度,最低温度,天气,风向
2015/6/29, 星期一 ,34℃,27℃,多云,微风 小于3级
2015/6/30, 星期二 ,35℃,27℃,多云,微风 小于3级
2015/7/1, 星期三 ,35℃,27℃,多云,微风 小于3级
2015/7/2, 星期四 ,34℃,27℃,雷雨~多云,微风 小于3级
2015/7/3, 星期五 ,33℃,27℃,阵雨~多云,微风 小于3级
2015/7/4, 星期六 ,32℃,25℃,阵雨,微风 小于3级
2015/7/5, 星期日 ,31℃,25℃,阴,微风 小于3级
2015/7/6, 星期一 ,31℃,25℃,阵雨~阴,微风 小于3级
2015/7/7, 星期二 ,31℃,26℃,阵雨,微风 小于3级
2015/7/8, 星期三 ,29℃,24℃,中雨~大到暴雨,微风 小于3级
2015/7/9, 星期四 ,30℃,25℃,中雨~阵雨,微风 小于3级
2015/7/10, 星期五 ,35℃,27℃,多云,微风 小于3级
2015/7/11, 星期六 ,36℃,27℃,多云,微风 小于3级
2015/7/12, 星期日 ,37℃,27℃,多云,微风 小于3级
2015/7/13, 星期一 ,34℃,26℃,多云,微风 小于3级
2015/7/14, 星期二 ,33℃,26℃,多云,微风 小于3级
2015/7/15, 星期三 ,32℃,26℃,多云,微风 小于3级
2015/7/16, 星期四 ,33℃,26℃,多云,微风 小于3级
2015/7/17, 星期五 ,33℃,26℃,多云,微风 小于3级
2015/7/18, 星期六 ,32℃,26℃,多云~阵雨,微风 小于3级
2015/7/19, 星期日 ,32℃,26℃,多云~阵雨,微风 小于3级
2015/7/20, 星期一 ,29℃,25℃,大到暴雨~中雨,微风 小于3级
2015/7/21, 星期二 ,30℃,25℃,中雨,微风 小于3级
2015/7/22, 星期三 ,30℃,25℃,中雨,微风 小于3级
2015/7/23, 星期四 ,29℃,25℃,阵雨,微风 小于3级
2015/7/24, 星期五 ,30℃,26℃,阵雨~阴,微风 小于3级
2015/7/25, 星期六 ,30℃,26℃,阵雨~多云,微风 小于3级
2015/7/26, 星期日 ,31℃,25℃,多云,微风 小于3级
2015/7/27, 星期一 ,32℃,26℃,多云,微风 小于3级
2015/7/28, 星期二 ,32℃,25℃,多云,微风 小于3级
2015/7/29, 星期三 ,32℃,25℃,阵雨~多云,微风 小于3级
2015/7/30, 星期四 ,32℃,25℃,多云,微风 小于3级
2015/7/31, 星期五 ,33℃,26℃,多云,微风 小于3级
2015/8/1, 星期六 ,33℃,25℃,多云,微风 小于3级
2015/8/2, 星期日 ,34℃,26℃,多云,微风 小于3级
2015/8/3, 星期一 ,34℃,26℃,多云,微风 小于3级
2015/8/4, 星期二 ,34℃,26℃,多云,微风 小于3级
2015/8/5, 星期三 ,33℃,26℃,多云,微风 小于3级
2015/8/6, 星期四 ,34℃,26℃,多云,微风 小于3级
2015/8/7, 星期五 ,35℃,25℃,多云~阵雨,微风 小于3级
2015/8/8, 星期六 ,31℃,25℃,大雨~暴雨,微风 小于3级
2015/8/9, 星期日 ,29℃,25℃,中雨~阵雨,微风 小于3级
2015/8/10, 星期一 ,31℃,26℃,阵雨~阴,微风 小于3级
2015/8/11, 星期二 ,31℃,26℃,阵雨~阴,微风 小于3级
2015/8/12, 星期三 ,31℃,26℃,阵雨~多云,微风 小于3级
2015/8/13, 星期四 ,32℃,26℃,阵雨~多云,微风 小于3级
2015/8/14, 星期五 ,32℃,26℃,阵雨~多云,微风 小于3级
2015/8/15, 星期六 ,32℃,26℃,阵雨~多云,微风 小于3级
2015/8/16, 星期日 ,32℃,26℃,阵雨~多云,微风 小于3级
2015/8/17, 星期一 ,31℃,25℃,阵雨~多云,微风 小于3级
2015/8/18, 星期二 ,32℃,26℃,阵雨~多云,微风 小于3级
2015/8/19, 星期三 ,31℃,25℃,阵雨~多云,微风 小于3级
2015/8/20, 星期四 ,33℃,26℃,多云,微风 小于3级
2015/8/21, 星期五 ,35℃,26℃,多云,微风 小于3级
2015/8/22, 星期六 ,35℃,27℃,多云,微风 小于3级
2015/8/23, 星期日 ,34℃,27℃,多云,微风 小于3级
2015/8/24, 星期一 ,32℃,26℃,阵雨~阴,微风 小于3级
2015/8/25, 星期二 ,32℃,25℃,多云,微风 小于3级
2015/8/26, 星期三 ,32℃,25℃,阵雨,微风 小于3级
2015/8/27, 星期四 ,30℃,25℃,阵雨,微风 小于3级
2015/8/28, 星期五 ,29℃,24℃,阵雨~中雨,微风 小于3级
2015/8/29, 星期六 ,29℃,24℃,大雨~阵雨,微风 小于3级
2015/8/30, 星期日 ,28℃,24℃,中雨,微风 小于3级
2015/8/31, 星期一 ,28℃,24℃,阵雨,微风 小于3级
2015/9/1, 星期二 ,28℃,24℃,阵雨,微风 小于3级
2015/9/2, 星期三 ,29℃,25℃,阵雨~多云,微风 小于3级
2015/9/3, 星期四 ,30℃,25℃,多云,微风 小于3级
2015/9/4, 星期五 ,32℃,25℃,多云,微风 小于3级
2015/9/5, 星期六 ,33℃,26℃,多云,微风 小于3级
2015/9/6, 星期日 ,34℃,24℃,阵雨,微风 小于3级
2015/9/7, 星期一 ,29℃,24℃,阴,微风 小于3级
2015/9/8, 星期二 ,30℃,23℃,多云,微风 小于3级
2015/9/9, 星期三 ,30℃,23℃,多云,微风 小于3级
2015/9/10, 星期四 ,29℃,23℃,多云,微风 小于3级
2015/9/11, 星期五 ,29℃,23℃,多云,微风 小于3级
2015/9/12, 星期六 ,30℃,23℃,多云~阴,微风 小于3级
2015/9/13, 星期日 ,29℃,23℃,多云,微风 小于3级
2015/9/14, 星期一 ,29℃,23℃,多云,微风 小于3级
2015/9/15, 星期二 ,29℃,24℃,阴,微风 小于3级
2015/9/16, 星期三 ,30℃,24℃,多云,微风 小于3级
2015/9/17, 星期四 ,29℃,24℃,多云,微风 小于3级
2015/9/18, 星期五 ,29℃,23℃,多云,微风 小于3级
2015/9/19, 星期六 ,29℃,23℃,多云~阵雨,微风 小于3级
2015/9/20, 星期日 ,27℃,22℃,中雨,微风 小于3级
2015/9/21, 星期一 ,26℃,23℃,中雨~阵雨,微风 小于3级
2015/9/22, 星期二 ,27℃,24℃,阵雨~多云,微风 小于3级
2015/9/23, 星期三 ,32℃,25℃,多云,微风 小于3级
2015/9/24, 星期四 ,31℃,25℃,阵雨~多云,微风 小于3级
2015/9/25, 星期五 ,31℃,24℃,多云,微风 小于3级
2015/9/26, 星期六 ,30℃,24℃,阴~多云,微风 小于3级
2015/9/27, 星期日 ,30℃,23℃,多云,微风 小于3级
2015/9/28, 星期一 ,33℃,23℃,多云~中雨,微风 小于3级
2015/9/29, 星期二 ,28℃,24℃,暴雨~大雨,微风 小于3级
2015/9/30, 星期三 ,30℃,24℃,阵雨,微风 小于3级
2015/10/1, 星期四 ,30℃,23℃,阵雨~阴,微风 小于3级
2015/10/2, 星期五 ,26℃,22℃,多云,微风 小于3级
2015/10/3, 星期六 ,29℃,24℃,多云,微风 小于3级
2015/10/4, 星期日 ,30℃,24℃,多云,微风 小于3级
2015/10/5, 星期一 ,30℃,23℃,多云,微风 小于3级
2015/10/6, 星期二 ,29℃,23℃,多云,微风 小于3级
2015/10/7, 星期三 ,28℃,23℃,多云~阵雨,微风 小于3级
2015/10/8, 星期四 ,27℃,22℃,阵雨,微风 小于3级
2015/10/9, 星期五 ,26℃,22℃,阴,微风 小于3级
2015/10/10, 星期六 ,26℃,20℃,阴~多云,微风 小于3级
2015/10/11, 星期日 ,24℃,19℃,多云,微风 小于3级
2015/10/12, 星期一 ,25℃,19℃,多云,微风 小于3级
2015/10/13, 星期二 ,26℃,18℃,晴,微风 小于3级
2015/10/14, 星期三 ,26℃,19℃,晴~多云,微风 小于3级
2015/10/15, 星期四 ,27℃,19℃,多云,微风 小于3级
2015/10/16, 星期五 ,28℃,20℃,晴,微风 小于3级
2015/10/17, 星期六 ,27℃,19℃,晴,微风 小于3级
2015/10/18, 星期日 ,28℃,21℃,多云,微风 小于3级
2015/10/19, 星期一 ,28℃,21℃,多云,微风 小于3级
2015/10/20, 星期二 ,29℃,22℃,多云,微风 小于3级
2015/10/21, 星期三 ,28℃,22℃,多云~阴,微风 小于3级
2015/10/22, 星期四 ,28℃,22℃,阴,微风 小于3级
2015/10/23, 星期五 ,29℃,23℃,多云,微风 小于3级
2015/10/24, 星期六 ,29℃,20℃,多云,微风 小于3级
2015/10/25, 星期日 ,28℃,21℃,多云,微风 小于3级
2015/10/26, 星期一 ,27℃,20℃,多云,微风 小于3级
2015/10/27, 星期二 ,28℃,21℃,多云~阵雨,微风 小于3级
2015/10/28, 星期三 ,26℃,21℃,阴,微风 小于3级
2015/10/29, 星期四 ,27℃,21℃,多云,微风 小于3级
2015/10/30, 星期五 ,29℃,20℃,阵雨,微风 小于3级
2015/10/31, 星期六 ,24℃,19℃,阴,微风 小于3级
2015/11/1, 星期日 ,24℃,19℃,多云,微风 小于3级
2015/11/2, 星期一 ,24℃,18℃,多云,微风 小于3级
2015/11/3, 星期二 ,24℃,20℃,多云,微风 小于3级
2015/11/4, 星期三 ,27℃,21℃,多云,微风 小于3级
2015/11/5, 星期四 ,28℃,22℃,多云,微风 小于3级
2015/11/6, 星期五 ,28℃,23℃,多云,微风 小于3级
2015/11/7, 星期六 ,31℃,23℃,多云,微风 小于3级
2015/11/8, 星期日 ,30℃,24℃,多云,微风 小于3级
2015/11/9, 星期一 ,27℃,20℃,阴,微风 小于3级
2015/11/10, 星期二 ,24℃,19℃,多云~阵雨,微风 小于3级
2015/11/11, 星期三 ,23℃,19℃,阴~多云,微风 小于3级
2015/11/12, 星期四 ,25℃,20℃,多云,微风 小于3级
2015/11/13, 星期五 ,25℃,21℃,多云~阵雨,微风 小于3级
2015/11/14, 星期六 ,23℃,20℃,阵雨~多云,微风 小于3级
2015/11/15, 星期日 ,26℃,20℃,多云,微风 小于3级
2015/11/16, 星期一 ,28℃,21℃,多云,微风 小于3级
2015/11/17, 星期二 ,27℃,22℃,阴,微风 小于3级
2015/11/18, 星期三 ,30℃,23℃,多云,微风 小于3级
2015/11/19, 星期四 ,27℃,20℃,多云,微风 小于3级
2015/11/20, 星期五 ,28℃,20℃,多云,微风 小于3级
2015/11/21, 星期六 ,26℃,20℃,阴~多云,微风 小于3级
2015/11/22, 星期日 ,26℃,20℃,多云,微风 小于3级
2015/11/23, 星期一 ,27℃,20℃,多云,微风 小于3级
2015/11/24, 星期二 ,27℃,18℃,多云,微风 小于3级
2015/11/25, 星期三 ,24℃,17℃,阴,微风 小于3级
2015/11/26, 星期四 ,20℃,12℃,晴,微风 小于3级
2015/11/27, 星期五 ,18℃,12℃,晴,微风 小于3级
2015/11/28, 星期六 ,22℃,16℃,晴~多云,微风 小于3级
2015/11/29, 星期日 ,23℃,17℃,多云~阴,微风 小于3级
2015/11/30, 星期一 ,22℃,17℃,多云,微风 小于3级
2015/12/1, 星期二 ,24℃,17℃,多云,微风 小于3级
2015/12/2, 星期三 ,25℃,17℃,多云~阵雨,微风 小于3级
2015/12/3, 星期四 ,20℃,15℃,多云,微风 小于3级
2015/12/4, 星期五 ,20℃,14℃,多云,微风 小于3级
2015/12/5, 星期六 ,18℃,17℃,阵雨~中雨,微风 小于3级
2015/12/6, 星期日 ,18℃,13℃,阴,微风 小于3级
2015/12/7, 星期一 ,19℃,14℃,多云,微风 小于3级
2015/12/8, 星期二 ,19℃,15℃,多云~阵雨,微风 小于3级
2015/12/9, 星期三 ,18℃,15℃,大雨,微风 小于3级
2015/12/10, 星期四 ,22℃,14℃,阵雨~阴,微风 小于3级
2015/12/11, 星期五 ,19℃,14℃,多云,微风 小于3级
2015/12/12, 星期六 ,19℃,13℃,多云,微风 小于3级
2015/12/13, 星期日 ,20℃,15℃,多云,微风 小于3级
2015/12/14, 星期一 ,22℃,16℃,多云,微风 小于3级
2015/12/15, 星期二 ,20℃,14℃,多云,微风 小于3级
2015/12/16, 星期三 ,17℃,10℃,多云~晴,微风 小于3级
2015/12/17, 星期四 ,14℃,8℃,晴,微风 小于3级
2015/12/18, 星期五 ,15℃,10℃,晴,微风 小于3级
2015/12/19, 星期六 ,18℃,12℃,多云,微风 小于3级
2015/12/20, 星期日 ,20℃,15℃,阴,微风 小于3级
2015/12/21, 星期一 ,19℃,15℃,阴~多云,微风 小于3级
2015/12/22, 星期二 ,21℃,16℃,阴~多云,微风 小于3级
2015/12/23, 星期三 ,22℃,20℃,多云,微风 小于3级
2015/12/24, 星期四 ,21℃,17℃,阴~阵雨,微风 小于3级
2015/12/25, 星期五 ,16℃,13℃,阴,微风 小于3级
2015/12/26, 星期六 ,17℃,15℃,阴~阵雨,微风 小于3级
2015/12/27, 星期日 ,15℃,12℃,小雨~阵雨,微风 小于3级
2015/12/28, 星期一 ,18℃,11℃,多云,微风 小于3级
2015/12/29, 星期二 ,17℃,12℃,阴,微风 小于3级
2015/12/30, 星期三 ,18℃,12℃,阴~多云,微风 小于3级
2015/12/31, 星期四 ,18℃,12℃,多云,微风 小于3级
2016/1/1, 星期五 ,19℃,12℃,多云,微风 小于3级
2016/1/2, 星期六 ,21℃,15℃,阴~阵雨,微风 小于3级
2016/1/3, 星期日 ,19℃,14℃,阵雨,微风 小于3级
2016/1/4, 星期一 ,20℃,15℃,阵雨,微风 小于3级
2016/1/5, 星期二 ,20℃,17℃,中雨,微风 小于3级
2016/1/6, 星期三 ,19℃,15℃,阵雨~多云,微风 小于3级
2016/1/7, 星期四 ,18℃,12℃,多云,微风 小于3级
2016/1/8, 星期五 ,19℃,12℃,多云,微风 小于3级
2016/1/9, 星期六 ,18℃,12℃,多云,微风 小于3级
2016/1/10, 星期日 ,19℃,16℃,阴~中雨,微风 小于3级
2016/1/11, 星期一 ,15℃,13℃,阵雨~阴,微风 小于3级
2016/1/12, 星期二 ,17℃,11℃,多云,微风 小于3级
2016/1/13, 星期三 ,16℃,10℃,多云,微风 小于3级
2016/1/14, 星期四 ,16℃,12℃,多云~阵雨,微风 小于3级
2016/1/15, 星期五 ,15℃,11℃,阵雨,微风 小于3级
2016/1/16, 星期六 ,18℃,13℃,阵雨~中雨,微风 小于3级
2016/1/17, 星期日 ,18℃,11℃,阵雨~阴,微风 小于3级
2016/1/18, 星期一 ,16℃,10℃,多云,微风 小于3级
2016/1/19, 星期二 ,16℃,9℃,多云,微风 小于3级
2016/1/20, 星期三 ,12℃,10℃,阵雨,微风 小于3级
2016/1/21, 星期四 ,14℃,10℃,阵雨,微风 小于3级
2016/1/22, 星期五 ,11℃,10℃,阵雨,微风 小于3级
2016/1/23, 星期六 ,9℃,5℃,小雨~阵雨,微风 小于3级
2016/1/24, 星期日 ,7℃,1℃,多云~晴,微风 小于3级
2016/1/25, 星期一 ,8℃,4℃,晴,微风 小于3级
2016/1/26, 星期二 ,13℃,9℃,多云~阵雨,微风 小于3级
2016/1/27, 星期三 ,16℃,12℃,小雨,微风 小于3级
2016/1/28, 星期四 ,14℃,11℃,大雨,微风 小于3级
2016/1/29, 星期五 ,14℃,12℃,大雨~阵雨,微风 小于3级
2016/1/30, 星期六 ,16℃,10℃,阴,微风 小于3级
2016/1/31, 星期日 ,14℃,11℃,阵雨,微风 小于3级
2016/2/1, 星期一 ,12℃,8℃,阵雨,微风 小于3级
2016/2/2, 星期二 ,10℃,7℃,阴,微风 小于3级
2016/2/3, 星期三 ,13℃,8℃,多云,微风 小于3级
2016/2/4, 星期四 ,16℃,9℃,多云,微风 小于3级
2016/2/5, 星期五 ,17℃,8℃,多云,微风 小于3级
2016/2/6, 星期六 ,15℃,6℃,晴,微风 小于3级
2016/2/7, 星期日 ,15℃,6℃,晴,微风 小于3级
2016/2/8, 星期一 ,17℃,7℃,晴,微风 小于3级
2016/2/9, 星期二 ,19℃,10℃,晴~多云,微风 小于3级
2016/2/10, 星期三 ,21℃,13℃,阴~阵雨,微风 小于3级
2016/2/11, 星期四 ,18℃,14℃,中雨~阵雨,微风 小于3级
2016/2/12, 星期五 ,21℃,15℃,阵雨,微风 小于3级
2016/2/13, 星期六 ,24℃,18℃,阵雨~阴,微风 小于3级
2016/2/14, 星期日 ,20℃,7℃,阵雨,微风 小于3级
2016/2/15, 星期一 ,11℃,7℃,阴,微风 小于3级
2016/2/16, 星期二 ,14℃,8℃,多云,微风 小于3级
2016/2/17, 星期三 ,16℃,8℃,多云,微风 小于3级
2016/2/18, 星期四 ,17℃,11℃,多云,微风 小于3级
2016/2/19, 星期五 ,20℃,13℃,阴~阵雨,微风 小于3级
2016/2/20, 星期六 ,17℃,10℃,多云,微风 小于3级
2016/2/21, 星期日 ,16℃,11℃,多云~阴,微风 小于3级
2016/2/22, 星期一 ,17℃,14℃,阴~阵雨,微风 小于3级
2016/2/23, 星期二 ,14℃,10℃,阴,微风 小于3级
2016/2/24, 星期三 ,14℃,9℃,阴~多云,微风 小于3级
2016/2/25, 星期四 ,13℃,10℃,阴,微风 小于3级
2016/2/26, 星期五 ,15℃,11℃,阴,微风 小于3级
2016/2/27, 星期六 ,17℃,10℃,多云,微风 小于3级
2016/2/28, 星期日 ,20℃,13℃,晴,微风 小于3级
2016/2/29, 星期一 ,19℃,9℃,多云~晴,微风 小于3级
2016/3/1, 星期二 ,17℃,8℃,晴~多云,微风 小于3级
2016/3/2, 星期三 ,20℃,10℃,晴~多云,微风 小于3级
2016/3/3, 星期四 ,22℃,11℃,晴~多云,微风 小于3级
2016/3/4, 星期五 ,24℃,13℃,多云,微风 小于3级
2016/3/5, 星期六 ,24℃,14℃,阴~阵雨,微风 小于3级
2016/3/6, 星期日 ,25℃,15℃,阵雨~多云,微风 小于3级
2016/3/7, 星期一 ,23℃,16℃,阴,微风 小于3级
2016/3/8, 星期二 ,23℃,17℃,阵雨~阴,微风 小于3级
2016/3/9, 星期三 ,23℃,10℃,中雨~小雨,微风 小于3级
2016/3/10, 星期四 ,11℃,8℃,中雨~阴,微风 小于3级
2016/3/11, 星期五 ,11℃,7℃,阵雨~阴,微风 小于3级
2016/3/12, 星期六 ,14℃,11℃,阵雨,微风 小于3级
2016/3/13, 星期日 ,16℃,13℃,小雨~中雨,微风 小于3级
2016/3/14, 星期一 ,16℃,10℃,阴~多云,微风 小于3级
2016/3/15, 星期二 ,17℃,12℃,多云~阴,微风 小于3级
2016/3/16, 星期三 ,18℃,13℃,阴,微风 小于3级
2016/3/17, 星期四 ,21℃,16℃,阴~阵雨,微风 小于3级
2016/3/18, 星期五 ,24℃,19℃,阴,微风 小于3级
2016/3/19, 星期六 ,21℃,16℃,阵雨,微风 小于3级
2016/3/20, 星期日 ,19℃,13℃,阵雨,微风 小于3级
2016/3/21, 星期一 ,16℃,13℃,中雨~阵雨,微风 小于3级
2016/3/22, 星期二 ,18℃,14℃,阵雨,微风 小于3级
2016/3/23, 星期三 ,15℃,11℃,大雨~小雨,微风 小于3级
2016/3/24, 星期四 ,11℃,9℃,小雨~阴,微风 小于3级
2016/3/25, 星期五 ,15℃,9℃,阴,微风 小于3级
2016/3/26, 星期六 ,17℃,9℃,多云,微风 小于3级
2016/3/27, 星期日 ,18℃,10℃,晴,微风 小于3级
2016/3/28, 星期一 ,18℃,9℃,晴,微风 小于3级
2016/3/29, 星期二 ,21℃,13℃,多云,微风 小于3级
2016/3/30, 星期三 ,23℃,16℃,多云~阵雨,微风 小于3级
2016/3/31, 星期四 ,24℃,17℃,阴~多云,微风 小于3级
2016/4/1, 星期五 ,22℃,16℃,多云~阴,微风 小于3级
2016/4/2, 星期六 ,22℃,16℃,多云~阴,微风 小于3级
2016/4/3, 星期日 ,29℃,19℃,多云~阴,微风 小于3级
2016/4/4, 星期一 ,26℃,17℃,阵雨,微风 小于3级
2016/4/5, 星期二 ,24℃,18℃,多云,微风 小于3级
2016/4/6, 星期三 ,27℃,20℃,多云,微风 小于3级
2016/4/7, 星期四 ,29℃,19℃,多云,微风 小于3级
2016/4/8, 星期五 ,27℃,18℃,阴~阵雨,微风 小于3级
2016/4/9, 星期六 ,23℃,18℃,阴~阵雨,微风 小于3级
2016/4/10, 星期日 ,24℃,19℃,阵雨~大雨,微风 小于3级
2016/4/11, 星期一 ,22℃,17℃,阵雨~阴,微风 小于3级
2016/4/12, 星期二 ,23℃,18℃,阵雨,微风 小于3级
2016/4/13, 星期三 ,23℃,19℃,大雨~阵雨,微风 小于3级
2016/4/14, 星期四 ,23℃,18℃,阵雨~中雨,微风 小于3级
2016/4/15, 星期五 ,23℃,17℃,阴,微风 小于3级
2016/4/16, 星期六 ,27℃,20℃,阵雨,微风 小于3级
2016/4/17, 星期日 ,24℃,19℃,阵雨,微风 小于3级
2016/4/18, 星期一 ,22℃,15℃,中雨~阴,微风 小于3级
2016/4/19, 星期二 ,22℃,16℃,多云~阴,微风 小于3级
2016/4/20, 星期三 ,27℃,19℃,阴~阵雨,微风 小于3级
2016/4/21, 星期四 ,30℃,21℃,阵雨~阴,微风 小于3级
2016/4/22, 星期五 ,27℃,22℃,阵雨,微风 小于3级
2016/4/23, 星期六 ,29℃,22℃,阵雨,微风 小于3级
2016/4/24, 星期日 ,26℃,20℃,大雨~中雨,微风 小于3级
2016/4/25, 星期一 ,24℃,19℃,中雨~阵雨,微风 小于3级
2016/4/26, 星期二 ,25℃,20℃,阵雨~中雨,微风 小于3级
2016/4/27, 星期三 ,30℃,20℃,多云~晴,微风 小于3级
2016/4/28, 星期四 ,27℃,19℃,多云,微风 小于3级
2016/4/29, 星期五 ,25℃,17℃,多云,微风 小于3级
2016/4/30, 星期六 ,24℃,18℃,阵雨,微风 小于3级
2016/5/1, 星期日 ,24℃,19℃,阵雨,微风 小于3级
2016/5/2, 星期一 ,28℃,22℃,阵雨~阴,微风 小于3级
2016/5/3, 星期二 ,27℃,21℃,阵雨,微风 小于3级
2016/5/4, 星期三 ,26℃,22℃,阵雨~阴,微风 小于3级
2016/5/5, 星期四 ,29℃,22℃,阵雨~阴,微风 小于3级
2016/5/6, 星期五 ,30℃,22℃,阵雨~阴,微风 小于3级
2016/5/7, 星期六 ,31℃,23℃,晴~阴,微风 小于3级
2016/5/8, 星期日 ,31℃,24℃,多云,微风 小于3级
2016/5/9, 星期一 ,30℃,24℃,阵雨~阴,微风 小于3级
2016/5/10, 星期二 ,26℃,21℃,中雨~阵雨,微风 小于3级
2016/5/11, 星期三 ,25℃,18℃,阴~多云,微风 小于3级
2016/5/12, 星期四 ,27℃,20℃,多云,微风 小于3级
2016/5/13, 星期五 ,29℃,22℃,多云,微风 小于3级
2016/5/14, 星期六 ,28℃,23℃,多云,微风 小于3级
2016/5/15, 星期日 ,30℃,22℃,阵雨,微风 小于3级
2016/5/16, 星期一 ,23℃,19℃,阵雨~阴,微风 小于3级
2016/5/17, 星期二 ,24℃,18℃,多云,微风 小于3级
2016/5/18, 星期三 ,27℃,20℃,多云,微风 小于3级
2016/5/19, 星期四 ,27℃,21℃,阴,微风 小于3级
2016/5/20, 星期五 ,26℃,21℃,阴~阵雨,微风 小于3级
2016/5/21, 星期六 ,24℃,21℃,中雨,微风 小于3级
2016/5/22, 星期日 ,27℃,22℃,阵雨~多云,微风 小于3级
2016/5/23, 星期一 ,27℃,22℃,阴,微风 小于3级
2016/5/24, 星期二 ,29℃,22℃,多云~阴,微风 小于3级
2016/5/25, 星期三 ,27℃,23℃,阴,微风 小于3级
2016/5/26, 星期四 ,30℃,23℃,多云~阴,微风 小于3级
2016/5/27, 星期五 ,30℃,25℃,阵雨,微风 小于3级
2016/5/28, 星期六 ,30℃,25℃,阴,微风 小于3级
2016/5/29, 星期日 ,32℃,25℃,阴,微风 小于3级
2016/5/30, 星期一 ,32℃,25℃,阵雨~阴,微风 小于3级
2016/5/31, 星期二 ,34℃,26℃,多云,微风 小于3级
2016/6/1, 星期三 ,35℃,26℃,多云,微风 小于3级
2016/6/2, 星期四 ,35℃,26℃,多云,微风 小于3级
2016/6/3, 星期五 ,33℃,26℃,阵雨~阴,微风 小于3级
2016/6/4, 星期六 ,32℃,25℃,多云,微风 小于3级
2016/6/5, 星期日 ,30℃,24℃,中雨~阵雨,暂无实况 
2016/6/6, 星期一 ,30℃,24℃,中雨~阵雨,暂无实况 
2016/6/7, 星期二 ,30℃,24℃,阴~阵雨,微风 小于3级
2016/6/8, 星期三 ,31℃,24℃,多云,微风 小于3级
2016/6/9, 星期四 ,31℃,25℃,雷阵雨~阵雨,微风 小于3级
2016/6/10, 星期五 ,30℃,25℃,雷阵雨~阵雨,微风 小于3级
2016/6/11, 星期六 ,31℃,25℃,中雨~小雨,微风 小于3级
2016/6/12, 星期日 ,29℃,26℃,阵雨,微风 小于3级
2016/6/13, 星期一 ,29℃,25℃,阵雨,微风 小于3级
2016/6/14, 星期二 ,31℃,26℃,阵雨,微风 小于3级
2016/6/15, 星期三 ,32℃,26℃,阵雨,微风 小于3级
2016/6/16, 星期四 ,32℃,26℃,阵雨~多云,微风 小于3级
2016/6/17, 星期五 ,31℃,26℃,阵雨~多云,微风 小于3级
2016/6/18, 星期六 ,32℃,25℃,阵雨~多云,微风 小于3级
2016/6/19, 星期日 ,32℃,26℃,多云~阵雨,微风 小于3级
2016/6/20, 星期一 ,32℃,26℃,多云~阴,微风 小于3级
2016/6/21, 星期二 ,33℃,26℃,多云,微风 小于3级
2016/6/22, 星期三 ,34℃,26℃,晴,微风 小于3级
2016/6/23, 星期四 ,35℃,27℃,晴~多云,微风 小于3级
2016/6/24, 星期五 ,34℃,27℃,多云,微风 小于3级
2016/6/25, 星期六 ,35℃,27℃,多云,微风 小于3级
2016/6/26, 星期日 ,33℃,26℃,阵雨~多云,微风 小于3级
2016/6/27, 星期一 ,33℃,26℃,多云~阵雨,微风 小于3级
2016/6/28, 星期二 ,33℃,26℃,阵雨,微风 小于3级
2016/6/29, 星期三 ,33℃,27℃,阵雨~多云,微风 小于3级
2016/6/30, 星期四 ,32℃,27℃,阵雨~多云,微风 小于3级
2016/7/1, 星期五 ,32℃,26℃,多云,微风 小于3级
2016/7/2, 星期六 ,32℃,26℃,多云,微风 小于3级
2016/7/3, 星期日 ,33℃,26℃,多云,微风 小于3级
2016/7/4, 星期一 ,33℃,26℃,多云,微风 小于3级
2016/7/5, 星期二 ,33℃,26℃,多云,微风 小于3级
2016/7/6, 星期三 ,36℃,27℃,多云,微风 小于3级
2016/7/7, 星期四 ,36℃,27℃,多云,微风 小于3级
2016/7/8, 星期五 ,35℃,26℃,阵雨~暴雨,微风 小于3级
2016/7/9, 星期六 ,29℃,25℃,暴雨~阵雨,微风 小于3级
2016/7/10, 星期日 ,31℃,26℃,阵雨,微风 小于3级
2016/7/11, 星期一 ,29℃,26℃,阵雨,微风 小于3级
2016/7/12, 星期二 ,30℃,26℃,大雨~阵雨,微风 小于3级
2016/7/13, 星期三 ,31℃,26℃,阵雨,微风 小于3级
2016/7/14, 星期四 ,32℃,26℃,阵雨转阴,微风 小于3级
2016/7/15, 星期五 ,33℃,26℃,多云,微风 小于3级
2016/7/16, 星期六 ,34℃,27℃,多云,微风 小于3级
2016/7/17, 星期日 ,33℃,27℃,多云,微风 小于3级
2016/7/18, 星期一 ,33℃,26℃,多云,微风 小于3级
2016/7/19, 星期二 ,32℃,26℃,多云,微风 小于3级
2016/7/20, 星期三 ,32℃,25℃,多云,微风 小于3级
2016/7/21, 星期四 ,34℃,26℃,多云,微风 小于3级
2016/7/22, 星期五 ,35℃,26℃,晴,微风 小于3级
2016/7/23, 星期六 ,35℃,26℃,晴,微风 小于3级
2016/7/24, 星期日 ,34℃,26℃,晴,微风 小于3级
2016/7/25, 星期一 ,34℃,26℃,多云,微风 小于3级
2016/7/26, 星期二 ,34℃,26℃,晴,微风 小于3级
2016/7/27, 星期三 ,34℃,27℃,晴,微风 小于3级
2016/7/28, 星期四 ,35℃,27℃,晴,微风 小于3级
2016/7/29, 星期五 ,35℃,26℃,多云,微风 小于3级
2016/7/30, 星期六 ,34℃,27℃,多云,微风 小于3级
2016/7/31, 星期日 ,34℃,27℃,多云,微风 小于3级
